ref_time,category,version,onnx_rel,vnnlib_rel,timeout,vc1_verdict,vc1_time,abc_verdict,abc_time
54.656889,nn4sys,1.0,nn4sys/1.0/onnx/mscn_2048d_dual.onnx,nn4sys/1.0/vnnlib/cardinality_1_360_2048_dual.vnnlib,160.0,unsat,54.656889,unsat,15.214264
70.848263,nn4sys,1.0,nn4sys/1.0/onnx/mscn_2048d_dual.onnx,nn4sys/1.0/vnnlib/cardinality_1_720_2048_dual.vnnlib,200.0,unsat,70.848263,unsat,18.896055
80.247138,nn4sys,1.0,nn4sys/1.0/onnx/mscn_2048d_dual.onnx,nn4sys/1.0/vnnlib/cardinality_1_960_2048_dual.vnnlib,200.0,unsat,80.247138,error,15.860203
129.241037,nn4sys,1.0,nn4sys/1.0/onnx/mscn_2048d_dual.onnx,nn4sys/1.0/vnnlib/cardinality_1_2260_2048_dual.vnnlib,300.0,unsat,129.241037,unsat,31.141678
153.599994,nn4sys,1.0,nn4sys/1.0/onnx/mscn_2048d_dual.onnx,nn4sys/1.0/vnnlib/cardinality_1_2890_2048_dual.vnnlib,340.0,unsat,153.599994,error,21.2395
193.106258,nn4sys,1.0,nn4sys/1.0/onnx/mscn_2048d_dual.onnx,nn4sys/1.0/vnnlib/cardinality_1_3520_2048_dual.vnnlib,380.0,unsat,193.106258,error,22.835224
208.069503,nn4sys,1.0,nn4sys/1.0/onnx/mscn_2048d_dual.onnx,nn4sys/1.0/vnnlib/cardinality_1_4150_2048_dual.vnnlib,420.0,unsat,208.069503,error,24.676802
231.034781,nn4sys,1.0,nn4sys/1.0/onnx/mscn_2048d_dual.onnx,nn4sys/1.0/vnnlib/cardinality_1_4780_2048_dual.vnnlib,440.0,unsat,231.034781,error,26.377086
263.660414,nn4sys,1.0,nn4sys/1.0/onnx/mscn_2048d_dual.onnx,nn4sys/1.0/vnnlib/cardinality_1_5410_2048_dual.vnnlib,460.0,unsat,263.660414,error,28.427581
287.321497,nn4sys,1.0,nn4sys/1.0/onnx/mscn_2048d_dual.onnx,nn4sys/1.0/vnnlib/cardinality_1_6040_2048_dual.vnnlib,500.0,unsat,287.321497,error,30.028306
316.936493,nn4sys,1.0,nn4sys/1.0/onnx/mscn_2048d_dual.onnx,nn4sys/1.0/vnnlib/cardinality_1_6670_2048_dual.vnnlib,520.0,unsat,316.936493,error,32.021575
382.716227,nn4sys,1.0,nn4sys/1.0/onnx/mscn_2048d_dual.onnx,nn4sys/1.0/vnnlib/cardinality_1_7930_2048_dual.vnnlib,540.0,unsat,382.716227,error,35.200182
423.190681,nn4sys,1.0,nn4sys/1.0/onnx/mscn_2048d_dual.onnx,nn4sys/1.0/vnnlib/cardinality_1_9190_2048_dual.vnnlib,580.0,unsat,423.190681,error,39.007179
566.37757,nn4sys,1.0,nn4sys/1.0/onnx/mscn_2048d_dual.onnx,nn4sys/1.0/vnnlib/cardinality_1_11080_2048_dual.vnnlib,800.0,unsat,566.37757,error,44.445235
581.619466,nn4sys,1.0,nn4sys/1.0/onnx/mscn_2048d_dual.onnx,nn4sys/1.0/vnnlib/cardinality_1_7300_2048_dual.vnnlib,520.0,sat,581.619466,error,33.599579
621.39378,nn4sys,1.0,nn4sys/1.0/onnx/mscn_2048d_dual.onnx,nn4sys/1.0/vnnlib/cardinality_1_8560_2048_dual.vnnlib,560.0,sat,621.39378,error,37.403345
641.828251,nn4sys,1.0,nn4sys/1.0/onnx/mscn_2048d_dual.onnx,nn4sys/1.0/vnnlib/cardinality_1_9820_2048_dual.vnnlib,580.0,sat,641.828251,error,40.671111
661.86642,nn4sys,1.0,nn4sys/1.0/onnx/mscn_2048d_dual.onnx,nn4sys/1.0/vnnlib/cardinality_1_10450_2048_dual.vnnlib,600.0,sat,661.86642,error,42.289958
